"BehaviorSpace results (NetLogo 6.1.1)"
"voting_systeem.nlogo"
"experiment distance"
"08/07/2022 19:30:12:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","voter_count","lijsttrekker_count","[step]","afs_plr","afs_apr","afs_ivr"
"164","200","5","0","12.623355000396518","12.623355000396517","12.62335500039652"
"165","200","5","0","13.273778865421997","13.273778865422","13.273778865422"
"166","200","5","0","14.168832723156292","14.168832723156289","14.168832723156292"
"169","200","5","0","12.860281006311883","12.860281006311885","12.860281006311885"
"168","200","5","0","14.25603690859111","14.256036908591113","14.25603690859111"
"167","200","5","0","16.23682960826535","16.23682960826535","16.236829608265353"
"170","200","5","0","13.8143241774137","13.814324177413695","13.8143241774137"
"162","200","5","0","15.798096247111582","16.418069524606082","16.41806952460608"
"172","200","5","0","12.878381325546185","12.878381325546185","12.878381325546185"
"171","200","5","0","13.574463220039226","13.574463220039224","13.57446322003922"
"173","200","5","0","16.095975373525455","16.095975373525462","15.219351981189705"
"174","200","5","0","12.689712713989174","12.689712713989174","12.689712713989174"
"176","200","5","0","17.58407970396618","13.79374639807703","13.793746398077031"
"177","200","5","0","13.693166609295663","13.693166609295663","16.005631316254828"
"175","200","5","0","12.518062471052804","12.518062471052804","12.518062471052804"
"178","200","5","0","14.02403678465105","14.02403678465105","14.024036784651056"
"182","200","5","0","13.588626643967265","13.588626643967268","13.588626643967268"
"181","200","5","0","17.80742439961295","16.119393948649662","16.119393948649666"
"180","200","5","0","17.26498339269147","13.444448789051242","13.444448789051243"
"179","200","5","0","17.08119113929864","17.081191139298635","17.081191139298635"
"183","200","5","0","13.028448648897564","13.028448648897564","13.028448648897559"
"185","200","5","0","15.58762599651276","14.275815776520522","14.27581577652052"
"184","200","5","0","19.325175963805226","19.325175963805226","19.325175963805233"
"188","200","5","0","14.309167628462484","14.309167628462488","14.309167628462484"
"190","200","5","0","14.022281408101898","14.022281408101895","14.022281408101898"
"189","200","5","0","15.288569629212184","15.288569629212182","15.288569629212182"
"186","200","5","0","14.665303952357302","13.809107875397688","0"
"187","200","5","0","13.190033428209556","13.190033428209556","13.190033428209556"
"191","200","5","0","13.029265094064499","13.029265094064499","13.029265094064499"
"186","200","5","1","14.665303952357302","13.809107875397688","0"
"192","200","5","0","17.86102164438606","18.427148311332754","17.86102164438606"
"186","200","5","2","14.665303952357302","13.809107875397688","0"
"186","200","5","3","14.665303952357302","13.809107875397688","0"
"193","200","5","0","18.893624831888427","18.89362483188843","18.893624831888435"
"194","200","5","0","16.44572461730184","16.44572461730184","16.445724617301835"
"198","200","5","0","16.21952590032785","16.21952590032785","16.219525900327845"
"195","200","5","0","14.80846403606602","13.557922191088185","13.55792219108819"
"199","200","5","0","13.948584247631395","13.9485842476314","13.948584247631397"
"197","200","5","0","15.154504706126563","14.442511171657152","14.44251117165715"
"201","200","5","0","16.614330116633308","16.614330116633308","16.614330116633305"
"200","200","5","0","13.463605847703047","13.463605847703045","13.463605847703045"
"203","200","5","0","15.666302067373913","15.666302067373918","15.666302067373914"
"202","200","5","0","15.042581069599215","15.042581069599215","15.042581069599214"
"205","200","5","0","16.211622859616387","13.224646579471756","13.224646579471752"
"196","200","5","0","12.716522917147222","12.716522917147223","12.716522917147223"
"204","200","5","0","19.824726729405434","19.70756955545367","19.707569555453667"
"207","200","5","0","14.512667145778103","14.5126671457781","14.512667145778106"
"208","200","5","0","16.32390709878862","16.323907098788617","16.894194607429103"
"209","200","5","0","16.661156389306406","16.415399224114605","16.894181701392338"
"206","200","5","0","17.200826113599806","17.200826113599806","15.038515400125963"
"211","200","5","0","12.816914665956718","12.81691466595671","12.816914665956714"
"212","200","5","0","16.271644497399002","14.813541736572613","14.657527839051294"
"214","200","5","0","14.634613073349458","14.634613073349461","14.634613073349469"
"215","200","5","0","13.304073215983566","13.304073215983562","13.304073215983566"
"213","200","5","0","16.494028911365852","16.038792874851584","16.038792874851584"
"210","200","5","0","12.547489678841833","12.547489678841833","12.54748967884183"
"216","200","5","0","13.510306577948862","13.510306577948866","12.997531058437199"
"217","200","5","0","16.816242786152685","16.816242786152678","16.81624278615268"
"219","200","5","0","14.070521017761061","14.070521017761067","14.070521017761067"
"218","200","5","0","13.468466511259205","13.468466511259203","13.468466511259207"
"220","200","5","0","17.797214398540138","13.482606929272817","13.482606929272816"
"222","200","5","0","17.246884592606474","17.246884592606474","17.246884592606474"
"221","200","5","0","14.379781436004626","14.379781436004622","14.37978143600462"
"223","200","5","0","12.67904355248405","12.67904355248405","12.679043552484046"
"227","200","5","0","14.107537152077313","14.10753715207731","14.107537152077311"
"228","200","5","0","17.044672795535796","17.0446727955358","16.535590707546845"
"226","200","5","0","18.651869783745394","18.651869783745386","18.65186978374539"
"225","200","5","0","14.689796450873098","14.689796450873098","14.689796450873096"
"231","200","5","0","16.31827682687676","16.31827682687676","16.318276826876765"
"229","200","5","0","12.688706498501627","12.688706498501627","12.684260414992627"
"230","200","5","0","16.37886298010439","16.37886298010439","0"
"234","200","5","0","17.51836473775869","17.51836473775869","17.51836473775869"
"236","200","5","0","21.40874369482147","15.000965946886298","15.000965946886293"
"230","200","5","1","16.37886298010439","16.37886298010439","0"
"232","200","5","0","14.331337646892077","14.926370552296024","15.172620454738661"
"224","200","5","0","15.835353016167756","15.835353016167765","15.835353016167756"
"233","200","5","0","18.351792639069266","17.92521382392167","14.534132720628836"
"235","200","5","0","16.51500933037292","16.51500933037292","16.515009330372923"
"230","200","5","2","16.37886298010439","16.37886298010439","0"
"230","200","5","3","16.37886298010439","16.37886298010439","0"
"239","200","5","0","15.568661543030762","15.568661543030771","13.614972290931368"
"237","200","5","0","13.991716807389855","13.991716807389858","13.99171680738986"
"238","200","5","0","18.169090964837267","14.707941270813123","15.29106046136273"
"243","200","5","0","18.544985354931963","18.54498535493196","17.436179484839496"
"241","200","5","0","13.160077801439728","13.160077801439732","13.160077801439732"
"245","200","5","0","16.43344052229588","16.433440522295875","16.433440522295875"
"242","200","5","0","20.147431473810183","17.472808614473845","17.47280861447384"
"240","200","5","0","13.44227409612929","13.442274096129294","13.442274096129292"
"247","200","5","0","12.559439081443108","12.559439081443106","12.559439081443106"
"248","200","5","0","12.742831605568666","12.74283160556867","12.74283160556867"
"249","200","5","0","18.363376961493667","15.19930724350903","15.19930724350903"
"244","200","5","0","15.233060306233794","15.233060306233787","14.284753042915169"
"250","200","5","0","21.02070725078854","18.253981462813552","18.253981462813552"
"253","200","5","0","13.35841969659086","13.358419696590854","13.358419696590854"
"251","200","5","0","13.588950126466882","13.588950126466882","13.588950126466873"
"252","200","5","0","16.781513470951964","16.781513470951968","14.673892447535751"
